type,x,y
path,13.0,-48.0
path,34.0,-48.0
path,16.0,0.0
path,27.0,-7.0
path,30.0,-19.0
path,3.0,-11.0
path,16.0,-22.0
path,29.0,-25.0
path,27.0,-7.0
path,31.0,-27.0
path,10.0,-45.0
path,-18.0,-15.0
path,-60.0,4.0
path,-53.0,24.0
path,4.0,8.0
path,-1.0,11.0
path,-13.0,8.0
path,-13.0,-3.0
path,-23.0,4.0
path,-33.0,24.0
path,-15.0,28.0
path,-15.0,28.0
path,-26.0,1.0
path,-5.0,-14.0
path,-15.0,-29.0
path,-21.0,-33.0
path,-5.0,-3.0
path,-8.0,-11.0
path,-4.0,-16.0
path,3.0,-6.0
path,-2.0,-19.0
path,-11.0,-29.0
path,-12.0,-13.0
path,-16.0,-30.0
path,-12.0,-52.0
path,5.0,-36.0
path,-7.0,-68.0
path,-26.0,-68.0
path,-11.0,0.0
path,-15.0,-16.0
path,-17.0,-73.0
path,-1.0,-10.0
path,-7.0,-20.0
path,-14.0,-23.0
path,-8.0,-3.0
path,-11.0,-15.0
path,-9.0,-28.0
path,3.0,-13.0
path,0.0,-27.0
path,-6.0,-30.0
path,-6.0,-4.0
path,-11.0,-15.0
path,-11.0,-25.0
path,0.0,-9.0
path,-5.0,-22.0
path,-12.0,-29.0
path,-6.0,-6.0
path,-12.0,-22.0
path,-14.0,-35.0
path,-1.0,-13.0
path,-10.0,-41.0
path,-20.0,-63.0
path,-9.0,-21.0
path,-16.0,-49.0
path,-15.0,-61.0
path,1.0,-11.0
path,-3.0,-24.0
path,-8.0,-28.0
path,-6.0,-3.0
path,-11.0,-13.0
path,-11.0,-21.0
path,0.0,-11.0
path,24.0,-14.0
path,138.0,-14.0
path,116.0,1.0
path,134.0,3.0
path,119.0,14.0
path,-9.0,7.0
path,-17.0,16.0
path,-17.0,20.0
path,0.0,13.0
path,33.0,5.0
path,45.0,-10.0
path,10.0,-14.0
path,14.0,-7.0
path,26.0,45.0
path,7.0,34.0
path,17.0,67.0
path,21.0,74.0
path,15.0,24.0
path,20.0,-3.0
path,9.0,-53.0
path,-22.0,-101.0
path,-77.0,-90.0
path,469.0,-90.0
path,480.0,0.0
path,480.0,0.0
path,480.0,21.0
path,0.0,12.0
path,-7.0,27.0
path,-16.0,33.0
path,-29.0,22.0
path,6.0,90.0
path,37.0,70.0
path,5.0,-3.0
path,7.0,-26.0
path,5.0,-52.0
path,-2.0,-25.0
path,-1.0,-52.0
path,1.0,-59.0
path,4.0,-10.0
path,84.0,-13.0
path,378.0,-13.0
path,398.0,0.0
path,411.0,2.0
path,386.0,47.0
path,-6.0,10.0
path,-17.0,58.0
path,-24.0,108.0
path,-15.0,99.0
path,-22.0,105.0
path,-79.0,64.0
path,-15.0,-10.0
path,-34.0,-19.0
path,-43.0,-19.0
path,-8.0,0.0
path,-24.0,-9.0
path,-35.0,-20.0
path,-30.0,-30.0
path,-52.0,-26.0
path,-48.0,7.0
path,2.0,21.0
path,9.0,29.0
path,28.0,31.0
path,13.0,2.0
path,31.0,13.0
path,38.0,24.0
path,9.0,12.0
path,22.0,18.0
path,32.0,15.0
path,12.0,-3.0
path,20.0,2.0
path,23.0,14.0
path,3.0,13.0
path,14.0,19.0
path,31.0,19.0
path,20.0,0.0
path,26.0,5.0
path,27.0,23.0
path,2.0,46.0
path,-3.0,92.0
path,-11.0,102.0
path,-5.0,6.0
path,-9.0,20.0
path,-9.0,30.0
path,0.0,11.0
path,-5.0,47.0
path,-11.0,80.0
path,-6.0,33.0
path,-13.0,76.0
path,-16.0,95.0
path,-3.0,19.0
path,-12.0,64.0
path,-20.0,98.0
path,-9.0,35.0
path,-13.0,70.0
path,-10.0,77.0
path,3.0,8.0
path,0.0,15.0
path,-6.0,17.0
path,-6.0,2.0
