theta_L,theta_R,x,y
1.8,253.8,-11.341632558075645,46.063616332820494
1.8,255.6,-11.667756524920595,45.114433833614385
1.8,257.40000000000003,-12.015236537799888,44.16894429471238
1.8,259.2,-12.382371931308342,43.22527340700762
1.8,261.0,-12.767562539814648,42.28160556084191
1.8,262.8,-13.169300358958072,41.33617635367579
1.8,264.6,-13.586162286943866,40.38726449968105
1.8,266.40000000000003,-14.0168038653911,39.43318306686281
1.8,268.2,-14.459953954512859,38.47226992952788
1.8,270.0,-14.914410293246624,37.50287728128595
1.8,271.8,-15.379035912045103,36.52336000353236
1.8,273.6,-15.852756385055377,35.53206262297658
1.8,275.40000000000003,-16.334557930321253,34.52730451456935
1.8,277.2,-16.823486392806814,33.50736290678498
1.8,279.0,-17.318647177413148,32.47045311575782
1.8,280.8,-17.81920624055241,31.414705260652593
1.8,282.6,-18.32439230336489,30.33813647659753
1.8,284.40000000000003,-18.833500523420252,29.2386173165939
1.8,286.2,-19.34589796396641,28.11383057956905
1.8,288.0,-19.861031344734844,26.961220156179756
1.8,289.8,-20.378437768420213,25.77792655018415
1.8,291.6,-20.897759428422138,24.560704356138856
1.8,293.40000000000003,-21.418763776085314,23.305814899581936
1.8,295.2,-21.94137136119631,22.008884044964784
1.8,297.0,-22.46569473623776,20.664710103522957
1.8,298.8,-22.992093756882916,19.266998484002297
1.8,300.6,-23.52125593128281,17.80798570245234
1.8,302.40000000000003,-24.054316383047134,16.27789064920282
1.8,304.2,-24.59304303705442,14.664085325730953
1.8,306.0,-25.14013447787103,12.949787882104257
1.8,307.8,-25.699724222775895,11.111893374550478
1.8,309.6,-26.278292135426582,9.117129250282629
1.8,311.40000000000003,-26.88646014163209,6.914627789390352
1.8,313.2,-27.5429800530816,4.419755154713203
1.8,315.0,-28.285330684275895,1.47200389825311
1.8,316.8,-29.208141946493633,-2.314430483646097
1.8,318.6,-30.78181950725996,-8.756784308885756
3.6,39.6,-34.105410919892705,28.097937682653793
3.6,41.4,-35.82314039120236,33.38606709044176
3.6,43.2,-37.40048181314941,37.596595885193686
3.6,45.0,-38.937214957487384,41.25284650972265
3.6,46.800000000000004,-40.46798378505985,44.5512433550265
3.6,48.6,-42.00853668080308,47.59007868044064
3.6,50.4,-43.56690585447344,50.426374371348444
3.6,52.2,-45.147337067523026,53.09639089551405
3.6,54.0,-46.751982529957075,55.62468549334877
3.6,55.800000000000004,-48.38173305743692,58.02867502678031
3.6,57.6,-50.03666732768668,60.321159362417774
3.6,59.4,-51.716312142318316,62.51181835807849
3.6,61.2,-53.419801757172024,64.60815009343783
3.6,63.0,-55.14597985722803,66.61608554237569
3.6,64.8,-56.89346725088263,68.54040628544558
3.6,66.60000000000001,-58.66070819305532,70.38503727302455
3.6,68.4,-60.44600289550469,72.15325752168238
3.6,70.2,-62.247530821637866,73.84785528963678
3.6,72.0,-64.06336765349457,75.47124471923915
3.6,73.8,-65.89149779469193,77.02555513569794
3.6,75.60000000000001,-67.72982363986034,78.51270056031979
3.6,77.4,-69.57617243805343,79.93443465908139
