type,x,y
path,13960.0,4430.0
path,13991.0,4593.0
path,13998.0,4615.0
path,14040.0,4637.0
path,14106.0,4637.0
path,14122.0,4623.0
path,14146.0,4608.0
path,14218.0,4605.0
path,14255.0,4614.0
path,14329.0,4624.0
path,14451.0,4628.0
path,14535.0,4618.0
path,14663.0,4611.0
path,14837.0,4624.0
path,14923.0,4660.0
path,15042.0,4702.0
path,15292.0,4746.0
path,15472.0,4749.0
path,15690.0,4766.0
path,15945.0,4861.0
path,15955.0,4882.0
path,15986.0,4924.0
path,16041.0,4978.0
path,16068.0,4992.0
path,16110.0,5021.0
path,16156.0,5069.0
path,16165.0,5108.0
path,16224.0,5305.0
path,16310.0,5574.0
path,16331.0,5631.0
path,16353.0,5697.0
path,16363.0,5842.0
path,16350.0,5931.0
path,16343.0,6190.0
path,16353.0,6508.0
path,16368.0,6556.0
path,16432.0,6673.0
path,16521.0,6798.0
path,16555.0,6809.0
path,16718.0,6895.0
path,16895.0,6998.0
path,16910.0,7017.0
path,16926.0,7220.0
path,16928.0,7557.0
path,16919.0,7642.0
path,16904.0,7774.0
path,16864.0,8094.0
path,16847.0,8219.0
path,16779.0,8583.0
path,16697.0,8967.0
path,16690.0,8976.0
path,16651.0,9025.0
path,16579.0,9114.0
path,16514.0,9194.0
path,16369.0,9414.0
path,16168.0,9764.0
path,16147.0,9812.0
path,16105.0,9910.0
path,16057.0,10022.0
path,16051.0,10036.0
path,16027.0,10080.0
path,15988.0,10147.0
path,15956.0,10194.0
path,15923.0,10247.0
path,15908.0,10300.0
path,15930.0,10300.0
path,15971.0,10269.0
path,16073.0,10099.0
path,16106.0,10025.0
path,16189.0,9849.0
path,16300.0,9622.0
path,16346.0,9541.0
path,16419.0,9421.0
path,16587.0,9183.0
path,16605.0,9160.0
path,16637.0,9093.0
path,16691.0,8913.0
path,16751.0,8620.0
path,16847.0,8012.0
path,16937.0,7218.0
path,16933.0,7079.0
path,16938.0,6954.0
path,16809.0,6759.0
path,16722.0,6713.0
path,16603.0,6635.0
path,16456.0,6484.0
path,16442.0,6446.0
path,16423.0,6222.0
path,16415.0,5890.0
path,16423.0,5812.0
path,16430.0,5727.0
path,16408.0,5567.0
path,16375.0,5487.0
path,16310.0,5304.0
path,16233.0,5063.0
path,16228.0,5037.0
path,16213.0,5000.0
path,16171.0,4952.0
path,16152.0,4944.0
path,16110.0,4915.0
path,16059.0,4869.0
path,16008.0,4776.0
path,15918.0,4668.0
path,15636.0,4560.0
path,15562.0,4560.0
path,15421.0,4555.0
path,15264.0,4544.0
path,15249.0,4537.0
path,15207.0,4519.0
path,15147.0,4493.0
path,15089.0,4468.0
path,14960.0,4435.0
path,14770.0,4413.0
path,14712.0,4424.0
path,14625.0,4433.0
path,14467.0,4423.0
path,14432.0,4414.0
path,14388.0,4406.0
path,14321.0,4416.0
path,14305.0,4427.0
path,14277.0,4442.0
path,14249.0,4451.0
path,14249.0,4446.0
path,14254.0,4436.0
path,14264.0,4426.0
path,14270.0,4426.0
path,14280.0,4422.0
path,14290.0,4412.0
path,14290.0,4407.0
path,14284.0,4397.0
path,14270.0,4387.0
path,14252.0,4387.0
path,14233.0,4382.0
path,14187.0,4227.0
path,14150.0,4020.0
path,14089.0,3692.0
path,14014.0,3317.0
path,14006.0,3292.0
